,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
LETTUCE,0.5,0.25,0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASIL,1,0.25,0.25,0.25,1,1.25,1,1.25,1,1.25,1,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARROT,0.25,0.25,0.25,2,0.25,0,0.25,0,0.25,0,0.75,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEET,0.5,0.25,0.25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHERRIES,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEAFY,1,0.25,0.25,1,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALL LEAFY,0.25,0.25,0.25,0,0.25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAS,0.25,0,0.25,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUKES,1,0.25,0.25,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMPKIN,0.5,0.25,0.25,0.75,0,0.25,0,0.25,1,0.5,0.5,0.5,0,0.5,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GARLIC,0,0,0.25,0,0.25,0,0.25,0.5,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0
ONION,0,0,1,0.25,0,0.25,0.5,0.25,0,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
BRASSI,0.5,0.25,0.25,0.25,0.5,0.25,0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEETS,0.25,1,0,0,0.25,0.5,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOTTIES,1,0.25,0.5,0.25,0,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEANS,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUTABAGA,0.25,0.25,0.25,0,0.25,1,0.25,0,0.25,0,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARSNIP,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0
LEEK,1,0.25,0.25,0,0.25,1,0.25,0,0.25,0,0.25,0,0,0,0.5,0.5,0.5,0.5,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DRYBEAN,0.25,0.5,0.25,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0.5,0,0
SWEETCORN,0.5,0.25,0.25,0.25,0,0.25,0.5,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRYCORN,0.5,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0.5,0,0.25,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0.5,0,0
POTATO,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEPEGG,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTI,0.75,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMATO,0.5,0.25,1,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
